Organ,csv,table_version,AS,CT,B_Total,BG,BP,BM,BF,BL,ASWithNoLink,CTWithNoLink,BWithNoLink,ASWithNoCT,CTWithNoB,AS_AS,AS_CT,CT_BM,url
large intestine,https://cdn.humanatlas.io/digital-objects/asct-b/large-intestine/v1.3/assets/asct-b-vh-large-intestine.csv,v1.3,58,60,93,91,2,,,,,3,8,4,,159,864,,https://purl.humanatlas.io/asct-b/large-intestine/v1.3
peripheral nervous system,https://cdn.humanatlas.io/digital-objects/asct-b/peripheral-nervous-system/v1.2/assets/asct-b-vh-peripheral-nervous-system.csv,v1.2,1009,128,33,5,28,,,,,120,7,194,,1020,724,,https://purl.humanatlas.io/asct-b/peripheral-nervous-system/v1.2
ovary,https://cdn.humanatlas.io/digital-objects/asct-b/ovary/v1.3/assets/asct-b-vh-ovary.csv,v1.3,81,18,16,1,14,,,1,42,11,4,23,,166,420,,https://purl.humanatlas.io/asct-b/ovary/v1.3
eye,https://cdn.humanatlas.io/digital-objects/asct-b/eye/v1.3/assets/asct-b-vh-eye.csv,v1.3,45,57,152,59,78,2,5,8,3,8,37,15,,42,171,,https://purl.humanatlas.io/asct-b/eye/v1.3
allen brain,https://cdn.humanatlas.io/digital-objects/asct-b/allen-brain/v1.6/assets/asct-b-allen-brain.csv,v1.6,194,623,773,773,,,,,18,1,133,175,,194,2463,,https://purl.humanatlas.io/asct-b/allen-brain/v1.6
liver,https://cdn.humanatlas.io/digital-objects/asct-b/liver/v1.3/assets/asct-b-vh-liver.csv,v1.3,21,32,70,27,43,,,,1,2,1,5,,17,98,,https://purl.humanatlas.io/asct-b/liver/v1.3
small intestine,https://cdn.humanatlas.io/digital-objects/asct-b/small-intestine/v1.1/assets/asct-b-vh-small-intestine.csv,v1.1,47,37,85,44,41,,,,15,10,82,19,,67,329,,https://purl.humanatlas.io/asct-b/small-intestine/v1.1
spleen,https://cdn.humanatlas.io/digital-objects/asct-b/spleen/v1.3/assets/asct-b-vh-spleen.csv,v1.3,40,63,155,73,82,,,,12,15,3,4,,48,364,,https://purl.humanatlas.io/asct-b/spleen/v1.3
uterus,https://cdn.humanatlas.io/digital-objects/asct-b/uterus/v1.1/assets/ASCT-B_VH_Uterus.csv,v1.1,65,20,46,40,6,,,,34,18,45,25,,129,420,,https://purl.humanatlas.io/asct-b/uterus/v1.1
heart,https://cdn.humanatlas.io/digital-objects/asct-b/heart/v1.4/assets/asct-b-vh-heart.csv,v1.4,56,30,46,46,,,,,1,,1,4,,66,313,,https://purl.humanatlas.io/asct-b/heart/v1.4
